store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
S23,202124,9.23,18.46,9.23,9.23,
S23,260061,92.25,18.45,92.25,92.25,
S23,202134,13.06,26.12,13.06,11.88,
S23,260063,130.63,26.13,130.63,126.13,
S23,203442,18.34,18.34,18.34,18.34,
S23,266447,73.35,18.34,73.35,73.35,
S23,205216,13.49,26.98,13.49,13.49,
S23,229644,11.24,11.24,11.24,11.24,
S23,238921,9.85,19.70,9.85,9.85,
S23,260059,63.70,15.93,63.70,63.70,63.70
S23,262771,68.95,19.70,68.95,68.95,
S23,244416,12.61,25.22,12.61,12.61,
S23,264362,88.29,25.23,88.29,88.29,
S23,249758,17.49,17.49,17.49,17.49,
S23,264123,3.69,18.45,3.69,3.69,
S23,266255,59.00,18.44,59.00,59.00,
S23,264194,19.79,19.79,19.79,19.79,
S23,264195,15.88,15.88,15.88,15.88,
S23,265555,16.00,16.00,16.00,16.00,
S23,265596,15.63,26.05,15.63,15.63,
S23,267214,76.88,21.36,76.88,76.88,
S23,268352,5.00,16.67,5.00,5.00,
S23,268353,9.99,19.98,9.99,9.99,
S23,227358,5.04,2.02,5.04,5.04,
S23,227359,2.19,2.19,2.19,2.19,
S23,264388,13.17,2.20,13.17,13.17,
S23,265553,19.99,19.99,19.99,19.99,
S23,207012,18.63,18.63,18.63,18.63,
S23,124088,17.49,34.98,17.49,17.49,
S23,260069,139.90,34.98,139.90,139.90,
S23,143840,17.49,17.49,17.49,17.49,
S23,143842,17.38,17.38,17.38,17.38,
S23,185050,14.74,14.74,14.74,14.74,
S23,185053,21.98,21.98,21.98,21.98,
S23,185058,21.50,21.50,21.50,21.50,
S23,186767,23.69,23.69,23.69,23.69,
S23,200045,11.86,23.72,11.86,11.86,
S23,264389,118.63,23.73,118.63,118.63,
S23,202135,15.90,31.80,15.90,14.49,
S23,202641,12.00,24.00,12.00,12.00,
S23,264370,72.00,24.00,72.00,72.00,
S23,212072,11.63,23.26,11.63,11.63,
S23,260357,116.25,23.25,116.25,116.25,116.25
S23,212077,16.49,16.49,16.49,16.49,
S23,212078,16.61,16.61,16.61,16.61,
S23,218791,23.61,23.61,23.61,23.61,
S23,220348,13.11,13.11,13.11,13.11,
S23,220349,28.65,28.65,28.65,26.05,
S23,220352,14.25,28.50,14.25,14.25,
S23,267150,142.50,28.50,142.50,142.50,
S23,224513,12.49,24.98,12.49,12.49,
S23,260411,124.88,24.98,124.88,124.88,124.88
S23,224515,9.36,18.72,9.36,9.36,
S23,266764,93.63,18.73,93.63,93.63,
S23,229221,13.99,27.98,13.99,13.99,
S23,235574,7.49,29.96,7.49,7.49,
S23,244412,13.74,27.48,13.74,13.74,
S23,260052,99.90,24.98,99.90,99.90,99.90
S23,264626,96.16,27.47,96.16,96.16,
S23,244423,14.95,29.90,14.95,14.95,
S23,264365,104.65,29.90,104.65,104.65,
S23,246974,37.49,37.49,37.49,37.49,
S23,248343,42.81,42.81,42.81,42.81,
S23,257476,23.56,23.56,23.56,23.56,
S23,257718,57.06,57.06,57.06,51.88,
S23,258365,7.63,33.17,7.63,7.63,
S23,264361,91.50,33.15,91.50,91.50,
S23,263347,20.60,20.60,20.60,20.60,
S23,263585,8.63,17.26,8.63,8.63,
S23,264275,86.25,17.25,86.25,86.25,
S23,264185,8.94,35.76,8.94,8.94,
S23,264384,71.50,35.75,71.50,71.50,
S23,264186,7.75,31.00,7.75,7.75,
S23,264385,62.00,31.00,62.00,62.00,
S23,264187,8.00,32.00,8.00,8.00,
S23,264386,64.00,32.00,64.00,64.00,
S23,264188,7.88,31.52,7.88,7.88,
S23,264387,63.00,31.50,63.00,63.00,
S23,264196,19.06,19.06,19.06,19.06,
